index,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,full_address,lat,lng
9,1105812,NEW YORK,OP,252,893984,ZOUK LTD,PALMA,28 1/2 CORNELIA STREET,,NEW YORK,NY,10014,08/07/2018,08/31/2020,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,POINT(-74.001429 40.73155),"28 1/2 CORNELIA STREET, NEW YORK, NY 10014",40.73155,-74.001429
16,1026076,NEW YORK,OP,252,897820,M ARAI INC,,137 E 45TH STREET,,NEW YORK,NY,10017,10/03/2018,09/30/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,POINT(-73.973974 40.753342),"137 E 45TH STREET, NEW YORK, NY 10017",40.753342,-73.973974
27,1292644,NEW YORK,OP,252,899162,CARIB INC,HAVANA NY,58 W 38TH ST,,NEW YORK,NY,10018,11/01/2018,10/31/2020,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,Recorded music,POINT(-73.985244 40.751788),"58 W 38TH ST, NEW YORK, NY 10018",40.751788,-73.985244
34,1172693,NEW YORK,TW,344,912673,JAPAN SOCIETY INC,,333 E 47TH STREET,1ST & 2ND AVENUES,NEW YORK,NY,10017,01/16/2019,01/31/2021,"TAVERN SERVING BEER, WINE, & CIDER",,,POINT(-73.968246 40.752557),"333 E 47TH STREET, NEW YORK, NY 10017",40.752557,-73.968246
36,1022934,NEW YORK,EB,141,896718,THAI SON RESTAURANT INC,,89 BAXTER STREET,,NEW YORK,NY,10013,02/09/2018,02/28/2021,DELI SELLING AND SERVING BEER AND CIDER,,,POINT(-73.999453 40.716759),"89 BAXTER STREET, NEW YORK, NY 10013",40.716759,-73.999453
37,1028367,NEW YORK,RL,241,902291,CAFE RETAMAR INC,CAFE RIAZOR,245 W 16TH STREET,,NEW YORK,NY,10011,02/21/2019,02/28/2021,RESTAURANT TAVERN SERVING BEER WINE CIDER AND LIQUOR,,,POINT(-74.000418 40.74081),"245 W 16TH STREET, NEW YORK, NY 10011",40.74081,-74.000418
40,1282216,NEW YORK,L,222,898837,ST NIC'S VINOTECA INC,,1581 ST NICHOLAS AVE,STORE #1,NEW YORK,NY,10040,03/30/2018,02/28/2021,LIQUOR STORE SELLING WINE AND LIQUOR,,,POINT(-73.930247 40.854691),"1581 ST NICHOLAS AVE, NEW YORK, NY 10040",40.854691,-73.930247
41,1302013,NEW YORK,W,322,882636,KSS WINE LLC,PARCELLE WINE,509 W 38TH ST ,509-511 W38TH ST,NEW YORK,NY,10018,03/15/2018,02/28/2021,WINE STORE SELLING WINE ONLY,,,POINT(-73.997991 40.757643),"509 W 38TH ST , NEW YORK, NY 10018",40.757643,-73.997991
46,1023882,NEW YORK,LL,203,898760,DREYFUS ASHBY INC,,630 3RD AVE 15TH FLOOR,,NEW YORK,NY,10017,03/28/2018,03/31/2021,WHOLESALE LIQUOR,,,POINT(-73.975401 40.750009),"630 3RD AVE 15TH FLOOR, NEW YORK, NY 10017",40.750009,-73.975401
47,1136097,NEW YORK,RW,341,839166,1262 AMSTERDAM CAFE INC,,1262 AMSTERDAM AVE,123RD & 12TH STREETS,NEW YORK,NY,10027,03/07/2019,03/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,POINT(-73.958502 40.81092),"1262 AMSTERDAM AVE, NEW YORK, NY 10027",40.81092,-73.958502
48,1185225,NEW YORK,OP,252,904541,FAT ANNIE S LLC ,FEILE,131 W 33RD STREET,,NEW YORK,NY,10001,03/29/2019,03/31/2021,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,,,POINT(-73.989676 40.749958),"131 W 33RD STREET, NEW YORK, NY 10001",40.749958,-73.989676
57,1298613,NEW YORK,RW,341,839950,462 BKCS LTD,BREAD & BUTTER,462 7TH AVE ,,NEW YORK,NY,10018,05/20/2019,05/31/2021,RESTAURANT SERVING BEER WINE & CIDER,,,POINT(-73.990328 40.751964),"462 7TH AVE , NEW YORK, NY 10018",40.751964,-73.990328
60,1303401,NEW YORK,L,222,900233,939 FIRST AVE LIQUORS INC,FINE WINES ON FIRST,945 1ST AVE,,NEW YORK,NY,10022,05/22/2018,06/30/2021,LIQUOR STORE SELLING LIQUOR & WINE,,,POINT(-73.965431 40.755337),"945 1ST AVE, NEW YORK, NY 10022",40.755337,-73.965431
62,1028865,NEW YORK,RW,341,840327,RAJ MAHAL REST INC,,322 E 6TH STREET,,NEW YORK,NY,10003,06/28/2019,07/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,POINT(-73.987496 40.726782),"322 E 6TH STREET, NEW YORK, NY 10003",40.726782,-73.987496
65,1220827,NEW YORK,L,222,902738,GRACE WINE & SPIRITS INC,,610 10TH AVENUE,,NEW YORK,NY,10036,07/05/2018,07/31/2021,LIQUOR STORE,"M-SA 8AM - 12AM, SU 12PM - 9PM",,POINT(-73.99435 40.76061),"610 10TH AVENUE, NEW YORK, NY 10036",40.76061,-73.99435
71,1224206,NEW YORK,OP,252,909106,BILLIARD BALLS MANAGEMENT LLC,SLATE,54 W 21ST STREET,,NEW YORK,NY,10010,08/15/2019,08/31/2021,TAVERN SERVING BEER WINE CIDER AND LIQUOR,,Billiard,POINT(-73.993217 40.741177),"54 W 21ST STREET, NEW YORK, NY 10010",40.741177,-73.993217
72,1254755,NEW YORK,OP,252,908699,STONEY MG INC,RYANS DAUGHTER,350 E 85TH ST,,NEW YORK,NY,10028,08/06/2019,08/31/2021,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",,,POINT(-73.950516 40.77621),"350 E 85TH ST, NEW YORK, NY 10028",40.77621,-73.950516
73,1301723,NEW YORK,RW,341,840446,MICHEL GE INC,BELLINI,483 COLUMBUS AVE ,,NEW YORK,NY,10024,07/12/2019,08/31/2021,RESTAURANT SERVING WINE BEER AND CIDER,,Recorded Music,POINT(-73.973195 40.78458),"483 COLUMBUS AVE , NEW YORK, NY 10024",40.78458,-73.973195
75,1227963,NEW YORK,AX,122,907600,CITY FUELS LLC,BP,4353 BROADWAY,,NEW YORK,NY,10033,08/13/2018,09/30/2021,GAS STATION CONVENIENCE STORE,,,POINT(-73.934478 40.853546),"4353 BROADWAY, NEW YORK, NY 10033",40.853546,-73.934478
77,1026304,NEW YORK,OP,252,911889,MCGEES BAR & GRILL INC,,240 W 55TH STREET,,NEW YORK,NY,10019,10/15/2019,10/31/2021,TAVERN RESTAUARANT SERVING LIQUOR WINE CIDER AND BEER,,,POINT(-73.982982 40.76482),"240 W 55TH STREET, NEW YORK, NY 10019",40.76482,-73.982982
81,1023596,NEW YORK,L,222,910150,BURGUNDY WINE COMPANY LTD,,143 W 26TH STREET,,NEW YORK,NY,10001,11/19/2018,11/30/2021,LIQUOR STORE SELLING WINES & LIQUORS,,,POINT(-73.992842 40.745635),"143 W 26TH STREET, NEW YORK, NY 10001",40.745635,-73.992842
90,1289343,NEW YORK,LL,203,912390,WILSON DANIELS WHOLESALE LLC,,19 W 24TH ST,7TH FL,NEW YORK,NY,10010,01/02/2019,01/31/2022,WHOLESALER SELLING LIQUOR ,,,POINT(-73.990446 40.743021),"19 W 24TH ST, NEW YORK, NY 10010",40.743021,-73.990446
98,1023127,NEW YORK,EB,141,913372,JAGUAR RESTAURANT INC, ,1735 LEXINGTON AVE,,NEW YORK,NY,10029,02/19/2019,02/28/2022,RESTAURANT SERVING BEER & CIDER,,,POINT(-73.94504 40.793549),"1735 LEXINGTON AVE, NEW YORK, NY 10029",40.793549,-73.94504
101,1269843,NEW YORK,WW,303,913436,PETIT POIS CORP,SUSSEX WINE MERCHANTS,521 5TH AVE,UNIT 7  FLOOR 17,NEW YORK,NY,10175,02/22/2019,02/28/2022,WHOLESALE WINE,,,POINT(-73.979794 40.754171),"521 5TH AVE, NEW YORK, NY 10175",40.754171,-73.979794
105,1196727,NEW YORK,W,322,914896,VINO FINO CORP,,1252 AMSTERDAM AVE,121 & 122 STS.,NEW YORK,NY,10027,04/25/2019,04/30/2022,WINE STORE SELLING WINE,,,POINT(-73.958884 40.810222),"1252 AMSTERDAM AVE, NEW YORK, NY 10027",40.810222,-73.958884
106,1227438,NEW YORK,WW,303,914703,IPO WINES LLC,,119 W 23RD ST,SUITE 803,NEW YORK,NY,10011,04/17/2019,04/30/2022,WHOLESALE SELLING WINE ,,,POINT(-73.993333 40.743561),"119 W 23RD ST, NEW YORK, NY 10011",40.743561,-73.993333
133,1252279,NEW YORK,EB,141,926997,94 CORNER CAFE CORP,,2518 BROADWAY ,,NEW YORK,NY,10025,06/08/2020,05/31/2023,EATING PLACE SERVING BEER & CIDER,,,POINT(-73.972386 40.79299),"2518 BROADWAY , NEW YORK, NY 10025",40.79299,-73.972386
136,1292018,NEW YORK,OP,252,892195,EATALY NY FIDI LLC,EATALY,4 WORLD TRADE CENTER,,NEW YORK,NY,10006,05/29/2018,06/30/2020,"RESTAURANT SERVING BEER, WINE CIDER AND LIQUOR",CB1 Stips:Bar Service Hrs 11:30am-11pm all days with 12pm opening on Sun (1am for private events),Recorded Music Permitted & No Dancing,POINT(-74.011978 40.7103),"4 WORLD TRADE CENTER, NEW YORK, NY 10006",40.7103,-74.011978
138,1116150,NEW YORK,RW,341,839616,AJISEN NOODLE RESTAURANT INC,AJISEN NOODLE RESTAURANT,14 MOTT STREET,PELL ST & CHATHAM SQUARE,NEW YORK,NY,10013,04/19/2019,04/30/2021,RESTAURANT SERVING BEER CIDER & WINE,,,POINT(-73.998493 40.71419),"14 MOTT STREET, NEW YORK, NY 10013",40.71419,-73.998493
140,1281343,NEW YORK,EB,141,896110,PROVINCE ONE LLC,NORTHERN TIGER,225 LIBERTY ST,STORE 248,NEW YORK,NY,10281,12/28/2017,12/31/2020,EATING PLACE BEER SERVING BEER AND CIDER,,,POINT(-74.015399 40.712481),"225 LIBERTY ST, NEW YORK, NY 10281",40.712481,-74.015399
142,1294401,NEW YORK,OP,252,894440,FSNY RESTAURANT ASSOCIATES LLC,CUT BY WOLFGANG PUCK,99 CHURCH ST,,NEW YORK,NY,10007,08/24/2018,08/31/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR & CIDER",Bar Service Hours - 11a-2a (Mon-Sat); 12p-2a (Sun),Recorded & Live Music,POINT(-74.009142 40.712826),"99 CHURCH ST, NEW YORK, NY 10007",40.712826,-74.009142
144,1022302,NEW YORK,AX,122,894141,101 MORONTA FOOD CORP,,101 DYCKMAN STREET,,NEW YORK,NY,10040,10/10/2017,10/31/2020,GROCERY STORE SELLING BEER CIDER AND WINE COOLER PRODUCTS,,,POINT(-73.924561 40.861934),"101 DYCKMAN STREET, NEW YORK, NY 10040",40.861934,-73.924561
149,1292520,NEW YORK,RW,341,835808,470 WEST 42 ST GOURMET FOOD INC,TREEHAUS,470 W 42ND ST,470 A,NEW YORK,NY,10036,11/02/2018,11/30/2020,RESTAURANT SERVING BEER CIDER AND WINE ONLY,CB4 Stips:  Sun-Wed to close at 10pm & Thurs - Sat to close at 12am,No Dancing,POINT(-73.995083 40.759045),"470 W 42ND ST, NEW YORK, NY 10036",40.759045,-73.995083
151,1284995,NEW YORK,L,222,899668,735 BROADWAY WINES INC,WAREHOUSE WINES & SPIRITS,735 BROADWAY,,NEW YORK,NY,10003,05/04/2018,05/31/2021,LIQUOR STORE SELLING WINE AND LIQUOR,,,POINT(-73.993352 40.73003),"735 BROADWAY, NEW YORK, NY 10003",40.73003,-73.993352
152,1129864,NEW YORK,AX,122,895718,BROADWAY FRUIT MARKET LLC,BROADWAY FARM,2345 BROADWAY,CRN OF WEST 85TH STREET,NEW YORK,NY,10024,12/01/2017,09/30/2020,GROCERY STORE SELLING BEER CIDER AND WINE COOLER PRODUCTS,,,POINT(-73.977199 40.788342),"2345 BROADWAY, NEW YORK, NY 10024",40.788342,-73.977199
154,1312161,NEW YORK,TW,344,903599,TBH COFFEE HOLDCO LLC,,450 PARK AVE S,SOUTH SPACE UNIT,NEW YORK,NY,10016,11/29/2018,10/31/2020,"TAVERN/CAFE SERVING WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,POINT(-73.983235 40.744989),"450 PARK AVE S, NEW YORK, NY 10016",40.744989,-73.983235
155,1219824,NEW YORK,RW,341,839989,AN HAO 187 INC,AKIMOTO SUSHI,187 CHURCH STREET,READE ST & DUANE ST,NEW YORK,NY,10007,05/22/2019,05/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,RECORDED MUSIC,POINT(-74.007052 40.715693),"187 CHURCH STREET, NEW YORK, NY 10007",40.715693,-74.007052
156,1162852,NEW YORK,OP,252,905272,PIZZA ON STONE LLC,ADRIENNE'S PIZZA BAR,54 STONE ST AKA 87 PEARL ST,HANOVER SQWUARE & BROAD ST,NEW YORK,NY,10004,04/22/2019,04/30/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,POINT(-74.01012 40.70428),"54 STONE ST AKA 87 PEARL ST, NEW YORK, NY 10004",40.70428,-74.01012
160,1027573,NEW YORK,OP,252,905634,J H PAPPAS ENTERPRISES INC,GIOVANNI #25,25 E 83RD ST        ,,NEW YORK,NY,10028,05/02/2019,05/31/2021,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,,,POINT(-73.96036 40.779195),"25 E 83RD ST        , NEW YORK, NY 10028",40.779195,-73.96036
161,1315664,NEW YORK,OP,252,888833,ICHIRAN U S A INC,ICHIRAN,152 W 49TH ST,,NEW YORK,NY,10019,05/07/2019,04/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,POINT(-73.983287 40.760056),"152 W 49TH ST, NEW YORK, NY 10019",40.760056,-73.983287
167,1309648,NEW YORK,RW,341,830561,1 STATE TACOS LLC,DOS TOROS,1 STATE ST,,NEW YORK,NY,10004,10/11/2018,09/30/2020,"RESTAURANT SERVING WINE, BEER AND CIDER",11am to 10pm all days,"Background music only, no dancing.",POINT(-74.013349 40.702765),"1 STATE ST, NEW YORK, NY 10004",40.702765,-74.013349
172,1269558,NEW YORK,OP,252,906281,MORTON'S OF CHICAGO CEDAR STREET LLC,MORTON'S THE STEAKHOUSE,136 WASHINGTON ST,,NEW YORK,NY,10006,05/21/2019,05/31/2021,"RESTAURANT SERVING BEER, WINE AND LIQUOR. FINAL CLOSING HOUR AT 2AM 7 DAYS A WEEK.",Sun 11:30am-11pm; Mon-Thur 11:30am-11pm; Fri-Sat 11:30am-11pm; Recorded Music; All doors/windows  ,"to remain closed while premise is open; No DJs, Live Music, Promoted or Cover Fee Events, Scheduled Performances",POINT(-74.013985 40.709846),"136 WASHINGTON ST, NEW YORK, NY 10006",40.709846,-74.013985
173,1296975,NEW YORK,OP,252,895285,21 RECTOR ST LLC,SAUCE & BARREL,13 21 RECTOR STREET,CORNER WASHINGTON/ RECTOR STS,NEW YORK,NY,10006,09/17/2018,09/30/2020,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,CB1 Stips:  11am-3am Daily,CB1 Stips:  No Sidewalk Cafe,POINT(-74.01409 40.707871),"13 21 RECTOR STREET, NEW YORK, NY 10006",40.707871,-74.01409
179,1029922,NEW YORK,RW,341,838651,AREVAL CORP,LA GIOCONDA,226 E 53RD STREET,EAST STORE,NEW YORK,NY,10022,01/09/2019,12/31/2020,"RESTAURANT SERVING BEER, WINE, & CIDER",,,POINT(-73.968404 40.757091),"226 E 53RD STREET, NEW YORK, NY 10022",40.757091,-73.968404
184,1280999,NEW YORK,RW,341,835785,SHU HAN JU RESTAURANT LLC,SHU HAN JU,465 6TH AVE,,NEW YORK,NY,10011,10/29/2018,10/31/2020,RESTAURANT SERVING WINE CIDER & BEER,CB stip:Su-Th 11:30am-11pm; F-Sa 11:30am-12am,Recorded music; No dancing; No patrons remaining after closing time,POINT(-73.998449 40.735601),"465 6TH AVE, NEW YORK, NY 10011",40.735601,-73.998449
186,1034146,NEW YORK,TL,252,902434,TWINS PUB INC,,421 9TH AVENUE,,NEW YORK,NY,10001,02/25/2019,02/28/2021,"TAVERN/RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,POINT(-73.996832 40.753173),"421 9TH AVENUE, NEW YORK, NY 10001",40.753173,-73.996832
187,1295723,NEW YORK,RW,341,835529,BEAUTEMPS INC,MOMOKAWA,1466 1ST AVE,,NEW YORK,NY,10075,07/25/2018,07/31/2020,"RESTAURANT SERVING BEER, WINE AND CIDER",,Recorded music,POINT(-73.9537 40.770474),"1466 1ST AVE, NEW YORK, NY 10075",40.770474,-73.9537
191,1144147,NEW YORK,HL,242,888335,"DOWNTOWN LLC,THE ",HOTEL ON RIVINGTON; S'ZEN,107 RIVINGTON ST,LUDLOW & ESSEX,NEW YORK,NY,10002,12/20/2018,11/30/2020,HOTEL RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,CB Stip:Close facade doors/windows at 10pm everynight,Security Personnel designated to elevate sidewalk overcrowding in front of premises,POINT(-73.98809 40.719778),"107 RIVINGTON ST, NEW YORK, NY 10002",40.719778,-73.98809
195,1259644,NEW YORK,AX,122,895226,710 QUICK STOP INC,,710 2ND AVE ,STORE #6 & #7,NEW YORK,NY,10016,11/03/2017,12/31/2020,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,POINT(-73.97362 40.747344),"710 2ND AVE , NEW YORK, NY 10016",40.747344,-73.97362
198,1228141,NEW YORK,RW,341,835963,BEFORE THAI INC.,KATI,347 E 14TH STREET,15 & 16 ST & 1ST & 2ND AVES,NEW YORK,NY,10003,12/07/2018,12/31/2020,RESTAURANT SERVING WINE CIDER & BEER,,,POINT(-73.982939 40.731767),"347 E 14TH STREET, NEW YORK, NY 10003",40.731767,-73.982939
199,1024576,NEW YORK,OP,252,903136,11 WAVERLY PUB LTD,JOSIE WOOD'S PUB,11 WAVERLY PLACE,,NEW YORK,NY,10007,03/07/2019,03/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,POINT(-73.994041 40.730255),"11 WAVERLY PLACE, NEW YORK, NY 10007",40.730255,-73.994041
200,1240725,NEW YORK,OP,252,894943,56TH STREET RESTAURANT LLC,LIPS RESTAURANT,227 E 56TH STREET,,NEW YORK,NY,10022,09/06/2018,09/30/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,POINT(-73.966826 40.759325),"227 E 56TH STREET, NEW YORK, NY 10022",40.759325,-73.966826
201,1024639,NEW YORK,OP,252,905456,MONOLITH INC,RAVEN,194 AVE A,,NEW YORK,NY,10009,04/25/2019,04/30/2021,TAVERN SERVING BEER CIDER WINE AND LIQUOR,,,POINT(-73.981066 40.729102),"194 AVE A, NEW YORK, NY 10009",40.729102,-73.981066
202,1315663,NEW YORK,OP,252,888961,DAI HACHI SUSHI & BAR CORP,DAI HACHI ,1074 2ND AVE ,,NEW YORK,NY,10022,06/06/2019,05/31/2021,"RESTAURANT SERVING BEER, WINE, LIQUOR & CIDER",CB6 Stips: 11 AM to 12 AM Sun - Mon,Recorded Background Music Only,POINT(-73.965295 40.758816),"1074 2ND AVE , NEW YORK, NY 10022",40.758816,-73.965295
203,1279645,NEW YORK,RW,341,835991,ABASTO LES LLC,BALVANERA,152 STANTON ST,,NEW YORK,NY,10002,12/12/2018,12/31/2020,RESTAURANT SERVING BEER CIDER & WINE ,CB Approved Hrs: Mon-Wed 5:30PM to 12 Midnight / Thurs & Fri 5:30PM to 2Am / Sat 11AM TO 2AM / Sun 11AM TO 11PM,"Must close windows and facade doors at 10PM, No Live Music/Dj's or promoted events, No Outdoor Areas",POINT(-73.985376 40.720644),"152 STANTON ST, NEW YORK, NY 10002",40.720644,-73.985376
205,1108372,NEW YORK,HL,242,893757,MARRIOTT INTERNATIONAL INC ,& CC MH TIMES SQUARE LLC,1535 BROADWAY,,NEW YORK,NY,10036,07/30/2018,08/31/2020,"HOTEL RESTAURANT SERVING BEER, WINE, LIQUOR & CIDER",,Licensed outdoor terraces ,POINT(-73.98618 40.758597),"1535 BROADWAY, NEW YORK, NY 10036",40.758597,-73.98618
207,1293794,NEW YORK,CT,246,893587,RESTAURANT ASSOCIATES LLC,,85 10TH AVE,FLR 4,NEW YORK,NY,10011,07/20/2018,08/31/2020,"CATERING SERVING LIQUOR, WINE, CIDER,  AND BEER",CB 4 STIPS: OPEN MON - FRI,"recorded music only, security and seating varies per event ",POINT(-74.007927 40.743391),"85 10TH AVE, NEW YORK, NY 10011",40.743391,-74.007927
208,1280068,NEW YORK,OP,252,897689,CHELSEA MARKET DELI LLC,FRIEDMANS,75 9TH AVE,,NEW YORK,NY,10011,09/27/2018,09/30/2020,RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,Mon-Fri 8am-10pm Sat 9am-10pm  Sun 9am-8pm,"No dancing, bottle service, sidewalk cafe/outside space. Backround music",POINT(-74.00605 40.742555),"75 9TH AVE, NEW YORK, NY 10011",40.742555,-74.00605
210,1022406,NEW YORK,C,103,927453,FLAIR BEVERAGES CORP,,3857 9TH AVENUE,,NEW YORK,NY,10034,06/23/2020,06/30/2021,WHOLESALE BEER,,,POINT(-73.917075 40.863183),"3857 9TH AVENUE, NEW YORK, NY 10034",40.863183,-73.917075
212,1131432,NEW YORK,OP,252,899508,PANE SARDO LLC,OTTO,1 5TH AVENUE,5TH ANE & UNIVERSITY PLACE,NEW YORK,NY,10003,11/19/2018,11/30/2020,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,,,POINT(-73.996186 40.731901),"1 5TH AVENUE, NEW YORK, NY 10003",40.731901,-73.996186
213,1283227,NEW YORK,OP,252,901965,CUVEE KITCHEN LLC & GRAMERCY FARMER & THE FISH,FARMER & THE FISH,247A PARK AVE S,,NEW YORK,NY,10003,02/14/2019,02/28/2021,RESTAURANT SERVING LIQUOR BEER CIDER AND WINE,,Recorded music,POINT(-73.987524 40.738014),"247A PARK AVE S, NEW YORK, NY 10003",40.738014,-73.987524
215,1310528,NEW YORK,TW,344,904030,LSMC LLC,C. DIPALO,151 MOTT ST,,NEW YORK,NY,10013,04/09/2019,03/31/2021,"BAR/TAVERN WINE SERVING WINE, BEER AND CIDER",CB2 Stip: 9am-12am Sun-Thur; 9am-1am Fri-Sat ,CB2 Stip: recorded music; no sidewalk cafe,POINT(-73.996556 40.719318),"151 MOTT ST, NEW YORK, NY 10013",40.719318,-73.996556
217,1182472,NEW YORK,OP,252,899876,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL,864 BROADWAY,17 & 18 STREETS,NEW YORK,NY,10003,12/03/2018,11/30/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,POINT(-73.98996 40.737313),"864 BROADWAY, NEW YORK, NY 10003",40.737313,-73.98996
222,1261784,NEW YORK,AX,122,898762,SEVENTEENTH STREET GOURMET INC ,,134 8TH AVE,,NEW YORK,NY,10011,03/28/2018,03/31/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,POINT(-74.000995 40.741229),"134 8TH AVE, NEW YORK, NY 10011",40.741229,-74.000995
223,1025772,NEW YORK,OP,252,899719,CELTIC TIGER INC,THE BLACK SHEEP,583 3RD AVENUE,,NEW YORK,NY,10016,11/28/2018,11/30/2020,TAVERN RESTAURANT SERVING CIDER BEER WINE AND LIQUOR,,,POINT(-73.975874 40.748309),"583 3RD AVENUE, NEW YORK, NY 10016",40.748309,-73.975874
225,1309989,NEW YORK,OP,252,887813,FLAME WEST INC,FLAME,100 W 82ND ST ,STORE 10,NEW YORK,NY,10024,08/17/2018,07/31/2020,"RESTAURANT SERVING LIQUOR, WINE BEER AND CIDER",,,POINT(-73.974651 40.783732),"100 W 82ND ST , NEW YORK, NY 10024",40.783732,-73.974651
229,1284512,NEW YORK,CT,246,905011,ASPARAGUS CATERING LLC,,347 W 34TH ST,,NEW YORK,NY,10001,04/15/2019,04/30/2021,CATERER SERVING BEER CIDER WINE AND LIQUOR,"CB4 Stip: Su-W Occassional Use, Th 8-12; F 12-2 Sa 12-2",CB4 Stip:  No Sidewalk Cafe. No Music.,POINT(-73.995188 40.753215),"347 W 34TH ST, NEW YORK, NY 10001",40.753215,-73.995188
235,1025476,NEW YORK,OP,252,894177,BENNYS BURRITOS INC,BENNYS BURRITOS,111 113 GREENWICH AVENUE,,NEW YORK,NY,10014,08/13/2018,08/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",,,POINT(-74.002201 40.738005),"111 113 GREENWICH AVENUE, NEW YORK, NY 10014",40.738005,-74.002201
238,1276910,NEW YORK,RW,341,835347,GREENWICH BBQ LLC,MIGHTY QUINN'S BARBEQUE,75 GREENWICH AVE,,NEW YORK,NY,10014,05/29/2018,06/30/2020,RESTAURANT SERVING BEER CIDER AND WINE,CB2 Stip Sun - Thurs 11:30 am-11:00 pm Fri-Sat 11:30 am - 12:00 am,"Recorded music, outdoor sidewalk cafe to close by 11pm Sun - Thur & 12am Fri& Sat",POINT(-74.00148 40.736689),"75 GREENWICH AVE, NEW YORK, NY 10014",40.736689,-74.00148
245,1313620,NEW YORK,OP,252,888793,C7 AVE SOUTH LLC,GST TAVERN,1 7TH AVE S,,NEW YORK,NY,10014,04/25/2019,03/31/2021,"RESTAURANT SERVING LIQUOR, WINE BEER AND CIDER",CB2 Stips:Sun- Wed 10 AM-1 AM;Thurs-Sat 10 AM-2 AM,"Recorded Music Permitted, No Dancing;No Licensed Sidewalk Cafe W/O Permit",POINT(-74.004753 40.729767),"1 7TH AVE S, NEW YORK, NY 10014",40.729767,-74.004753
247,1180468,NEW YORK,OP,252,900709,792 RESTAURANT FOOD CORP,LILLI AND LOO,792 LEXINGTON AVENUE,,NEW YORK,NY,10021,01/10/2019,12/31/2020,"RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",,,POINT(-73.927312 40.690267),"792 LEXINGTON AVENUE, NEW YORK, NY 10021",40.690267,-73.927312
250,1294003,NEW YORK,RW,341,835521,MOTORINO 3 INC,MOTORINO,510 COLUMBUS AVE,,NEW YORK,NY,10024,07/23/2018,07/31/2020,"PIZZA RESTAURANT SERVING BEER, WINE AND CIDER     ",,,POINT(-73.973009 40.785701),"510 COLUMBUS AVE, NEW YORK, NY 10024",40.785701,-73.973009
259,1154126,NEW YORK,OP,252,893815,HORSHOES INC,DALTON'S,611 9TH  AVENUE,,NEW YORK,NY,10036,07/31/2018,08/31/2020,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,,,POINT(-73.99229 40.759457),"611 9TH  AVENUE, NEW YORK, NY 10036",40.759457,-73.99229
261,1022679,NEW YORK,CT,246,899436,HSS PROPERTIES CORPORATION,THE BELAIRE CAFE,525 E 71 ST STREET,,NEW YORK,NY,10021,11/14/2018,11/30/2020,CATERING FACILITY SERVING BEER CIDER WINE & LIQUOR,,,POINT(-73.964869 40.770819),"525 E 71 ST STREET, NEW YORK, NY 10021",40.770819,-73.964869
262,1307097,NEW YORK,OP,252,887674,L E S BLEECKER INC,NIGHTINGALE,89 GREENWICH AVE,,NEW YORK,NY,10014,07/12/2018,06/30/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER","CB2 Stips:Sun-Wed 10 AM-12 AM, Thurs 10 AM-1 AM & Fri - Sat 10 AM-2 AM;Sidewalk Cafe hrs: Sun - Wed to close 10 PM & Thurs-Sat 11 PM","Recorded Music Permitted, No Dancing;No Licensed Sidewalk Cafe W/O Permit",POINT(-74.001911 40.737287),"89 GREENWICH AVE, NEW YORK, NY 10014",40.737287,-74.001911
