index,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,full_address,lat,lng
15927,1301234,NEW YORK,CT,246,906967,ARAMARK EDUCATIONAL SERVICES LLC,,113 W 60TH ST 150 W 62ND ST,,NEW YORK,NY,10023,06/18/2019,06/30/2021,"CATERING ESTABLISHMENT SERVING LIQUOR, WINE, BEER & CIDER.","DJ, JUKE BOX & KARAOKE. LIVE BANDS AT PRIVATE EVENTS.",NO DANCING.,POINT(-73.985138 40.771023),"113 W 60TH ST 150 W 62ND ST, NEW YORK, NY 10023",40.771023,-73.985138
15931,1306039,NEW YORK,CL,243,913823,21 WEST END ASSOCIATION INC,CAFE 21,21 WEST END AVE,,NEW YORK,NY,10023,12/24/2019,12/31/2021,CLUB SERVING BEER WINE CIDER & LIQUOR,,Recorded Music,POINT(-73.990303 40.77277),"21 WEST END AVE, NEW YORK, NY 10023",40.77277,-73.990303
15932,1304269,NEW YORK,OP,252,908111,GUACAMOLE MIDTOWN CORP,GUACAMOLE TAQUERIA,768 AMSTERDAM AVE,,NEW YORK,NY,10025,07/23/2019,08/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",CB7 Stips: Sun-Th 12pm-2am; Fri & Sat 12pm-4am,Recorded Music,POINT(-73.96989 40.795191),"768 AMSTERDAM AVE, NEW YORK, NY 10025",40.795191,-73.96989
15933,1145016,NEW YORK,OP,252,913296,HINOMARU INC,KENKA,25 ST MARKS PLACE,2ND & 3RD AVENUES,NEW YORK,NY,10003,11/29/2019,01/31/2022,RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,"CB 3 stip: No patrons allowed in backyard, will operate as full service Japanese restaurant",Door to backyard will be closed during operating hours.,POINT(-73.988426 40.729155),"25 ST MARKS PLACE, NEW YORK, NY 10003",40.729155,-73.988426
15939,1294798,NEW YORK,OP,252,907032,BURGER & LOBSTER BRYANT PARK LLC,BURGER & LOBSTER,132 W 43RD ST,,NEW YORK,NY,10036,06/19/2019,06/30/2021,"RESTAURANT SERVING BEER, WINE, LIQUOR & CIDER",,Recorded & Live Music; DJ,POINT(-73.984707 40.755558),"132 W 43RD ST, NEW YORK, NY 10036",40.755558,-73.984707
15942,1025878,NEW YORK,OP,252,907602,RIO RESTAURANT ASSOCIATES LP,EL RIO GRANDE,560 3RD AVE (AKA 160 E 38 ST),,NEW YORK,NY,10016,07/09/2019,07/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,POINT(-73.976835 40.748073),"560 3RD AVE (AKA 160 E 38 ST), NEW YORK, NY 10016",40.748073,-73.976835
15944,1305058,NEW YORK,RW,341,841910,BL 30 CARMINE NY LLC,BLUESTONE LANE,30 CARMINE ST,,NEW YORK,NY,10014,02/03/2020,03/31/2022,"RESTAURANT SERVING BEER, WINE, AND CIDER","CB2 Stips: Open Daily 7:30am-11pm, Recorded Music Only",Licensed Sidewalk Cafe to Close 9 pm Daily,POINT(-74.002834 40.730013),"30 CARMINE ST, NEW YORK, NY 10014",40.730013,-74.002834
15945,1022717,NEW YORK,DX,126,901760,RITE AID OF NEW YORK INC,RITE AID PHARMACY #4261,501 6TH AVENUE,,NEW YORK,NY,10011,06/12/2018,07/31/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,POINT(-73.997981 40.736374),"501 6TH AVENUE, NEW YORK, NY 10011",40.736374,-73.997981
15947,1271953,NEW YORK,OP,252,915986,DEAR IRVING LLC,DEAR IRVING,55 IRVING PLACE 2ND FLOOR,,NEW YORK,NY,10003,03/04/2020,03/31/2022,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR",Monday - Friday 4:00 p.m. - 2:00 a.m. & Saturday - Sunday 11:00 a.m. - 2:00 a.m.,,POINT(-73.987525 40.736152),"55 IRVING PLACE 2ND FLOOR, NEW YORK, NY 10003",40.736152,-73.987525
15950,1310717,NEW YORK,AX,122,883178,DAONA INC,,201 E 81ST ST,,NEW YORK,NY,10028,08/03/2018,07/31/2021,GROCERY STORE SELLING BEER AND WINE PRODUCTS,,,POINT(-73.956028 40.775607),"201 E 81ST ST, NEW YORK, NY 10028",40.775607,-73.956028
